Read data time:  0.110990
Learn transition time:  0.163236
Generate graph time:  0.400522
End-to-end Time:  0.674748
1104 747 1098776648
337 1714 1098775770
1515 11 1098775640
500 1404 1098774687
173 258 1098773714
138 1214 1098773546
1097 933 1098771796
1277 1746 1098771169
650 542 1098770921
1691 1208 1098770791
1344 669 1098770674
1389 56 1098770122
1832 754 1098691947
1028 957 1098690345
1028 957 1098690476
12 24 1098656876
1740 4 1098642113
502 522 1098589335
1421 1241 1098583772
727 73 1098571922
727 73 1098768351
1888 625 1098502631
1387 1508 1098431192
161 1288 1098423774
553 903 1098403249
553 903 1098505737
553 903 1098691177
17 453 1098324661
999 232 1098245217
938 1055 1098240980
1316 1371 1098175345
1316 1371 1098217106
1316 1371 1098298450
1641 1371 1098170872
368 1100 1098159541
368 1100 1098214504
368 1100 1098227637
368 1100 1098302816
1100 1005 1098141264
696 197 1098124247
129 1208 1098113752
481 651 1098011957
1811 722 1097971961
1329 926 1097971961
1387 1740 1097971961
1371 826 1097971961
8 1264 1097971961
957 619 1097971960
957 619 1097971962
957 619 1097971963
1815 1100 1097970754
405 902 1097773294
1100 253 1097771322
1583 1085 1097762661
625 959 1097737053
1288 1151 1097730413
61 679 1097725329
1201 767 1097711599
1201 767 1097742972
1201 767 1097964589
929 857 1097693266
929 857 1097693368
412 855 1097692933
1671 989 1097644650
498 1532 1097608131
498 1532 1097731848
498 1532 1097732601
498 1532 1098161338
498 1532 1098165530
498 1532 1098230019
498 1532 1098248470
498 1532 1098254575
498 1532 1098379340
959 617 1097604732
959 617 1097967095
959 617 1098029156
1450 874 1097559764
1450 874 1097731132
1450 874 1097731945
1450 874 1097732753
1450 874 1097732767
1450 874 1098148625
1450 874 1098161378
1450 874 1098214538
1450 874 1098231927
1450 874 1098250087
1450 874 1098254697
1450 874 1098254843
1450 874 1098559720
1369 1371 1097557494
1369 1371 1097557999
1046 1599 1097557041
1046 1599 1097557750
1046 1599 1097558181
1316 250 1097550580
61 970 1097523298
1789 1056 1097470388
1789 1056 1097526691
1789 1056 1097557389
1789 1056 1097609554
1789 1056 1097648927
1789 1056 1098777111
1789 1056 1098777142
62 105 1097464426
105 572 1097459395
1647 646 1097444880
1647 646 1097445226
821 634 1097432420
821 634 1097432420
821 634 1097432424
821 634 1097432424
821 634 1097451142
775 586 1097387536
775 586 1097730345
877 1601 1097367132
9 1708 1097367119
898 1634 1097367064
1341 1673 1097366977
197 1749 1097366958
804 87 1097366888
1001 1269 1097284355
1366 103 1097164519
59 617 1097136635
1753 957 1097133715
1753 957 1097133867
1753 957 1097134217
1753 957 1097134554
1879 15 1097133072
1879 15 1097133687
1879 15 1097133951
1879 15 1097134079
1879 15 1097134201
929 522 1097132773
929 522 1097133406
929 522 1097133815
929 522 1097134009
929 522 1097134175
929 522 1097134270
1598 708 1097131528
807 1056 1097121825
807 1056 1097197113
1803 73 1097033388
1803 73 1097033527
1803 73 1097033810
646 790 1097020549
232 877 1096966033
232 877 1097126896
232 877 1097733680
1009 550 1096955849
1345 1264 1096949165
599 202 1096946140
599 202 1097000179
599 202 1097016225
599 202 1097041345
599 202 1097175848
599 202 1097198687
1136 1155 1096871575
1278 618 1096865096
1278 618 1096949899
1278 618 1097030064
1278 618 1097035636
1278 618 1097110410
226 308 1096865040
197 397 1096860923
293 619 1096854192
293 619 1096871490
337 1721 1098072010
169 105 1096839775
1265 97 1096770936
43 105 1096765485
1433 184 1096687143
1433 184 1096839895
1327 1388 1096686706
380 169 1096655679
1486 45 1096621741
1486 45 1098355057
1665 1333 1096594026
1665 1333 1096653145
1665 1333 1096685363
1665 1333 1096949699
1665 1333 1096965702
1665 1333 1097518365
380 43 1096593320
821 1840 1096565573
821 1840 1096565613
821 1840 1096565747
821 1840 1096597573
979 1223 1096557804
979 1223 1096591854
979 1223 1096675390
979 1223 1096827411
1401 855 1096555658
144 184 1096516896
251 1532 1096492418
251 1532 1096564277
251 1532 1096647426
251 1532 1096681807
33 94 1096473784
1016 58 1096447422
394 428 1096434859
394 428 1096614656
394 428 1096655251
677 1195 1096429290
677 1195 1096864446
1347 1755 1096407350
1347 1755 1096667559
1177 630 1096403644
821 73 1096361797
1451 411 1096353994
1451 411 1096511256
1865 359 1096353650
1865 359 1096433721
1197 1396 1096352049
898 1685 1096349775
898 1685 1096439295
619 783 1096342920
619 783 1096501364
619 783 1096521109
1336 244 1096310290
382 1502 1096256657
928 726 1096256378
928 726 1096256537
566 1404 1096251793
566 1404 1096251861
566 1404 1096251932
566 1404 1096252007
1013 380 1096251724
1013 380 1096251823
1013 380 1096251875
1013 380 1096251964
1013 380 1096252033
