Read data time:  0.126613
Learn transition time:  1.396166
Generate graph time:  0.385148
End-to-end Time:  1.907926
1088 875 1098774918
759 476 1098773637
759 476 1098773984
476 759 1098774210
759 476 1098774427
270 997 1098771796
1808 1754 1098770921
1676 182 1098770179
535 1263 1098770122
535 1263 1098770168
25 1619 1098742506
25 1619 1098742595
25 1619 1098743304
25 1619 1098743317
229 1896 1098733554
229 1896 1098734210
229 1896 1098734623
229 1896 1098735261
1277 1680 1098726086
1277 1680 1098726587
1277 1680 1098726982
1680 1277 1098726991
1322 1723 1098690345
1723 851 1098691167
851 1723 1098691374
1723 851 1098691828
285 237 1098680449
285 237 1098680483
285 237 1098680827
285 237 1098680934
1314 489 1098656876
619 1314 1098657603
619 1314 1098657765
619 1314 1098657912
700 1164 1098642113
700 1164 1098644515
700 700 1098644541
700 700 1098644585
1565 1225 1098613380
1225 1565 1098614614
1565 1225 1098614774
729 676 1098589335
729 676 1098589621
676 729 1098589849
676 729 1098591945
1845 428 1098583772
428 1845 1098583835
1845 428 1098586480
1845 428 1098586533
1561 1792 1098571922
175 1561 1098572492
1792 1561 1098572676
1561 1792 1098573163
1561 1792 1098768351
831 544 1098559953
650 125 1098502631
125 650 1098502700
650 125 1098503044
1200 507 1098431192
1200 507 1098431294
507 1200 1098432241
1200 507 1098432319
521 507 1098421502
521 507 1098421647
1200 507 1098422158
507 1200 1098422432
521 507 1098424222
521 507 1098424424
521 507 1098424677
521 507 1098424714
521 507 1098424841
1865 521 1098425128
521 1865 1098425342
1865 521 1098425463
348 1506 1098403249
348 1506 1098505737
348 1506 1098505784
348 1506 1098505838
348 1506 1098505886
348 1506 1098691177
348 1506 1098691237
273 997 1098324661
273 997 1098324674
997 273 1098324952
997 273 1098325312
539 757 1098245217
1583 298 1098240980
298 1583 1098241891
1583 298 1098242290
298 1583 1098242645
877 1754 1098236114
1754 877 1098236161
877 1754 1098236659
992 835 1098175345
992 835 1098298450
835 992 1098299646
992 835 1098299834
992 835 1098299952
367 757 1098159541
1471 367 1098160682
367 1471 1098160708
1471 367 1098161137
367 757 1098214504
367 757 1098227637
757 367 1098228633
367 757 1098228669
757 367 1098228713
367 757 1098302816
367 757 1098303178
757 367 1098303344
367 757 1098303598
1754 1185 1098141264
1185 1754 1098141267
1754 1185 1098141458
353 1584 1098124247
948 1598 1098113752
340 1332 1098082748
340 1332 1098082912
340 1332 1098083093
1332 105 1098083166
1200 152 1098078792
1610 1841 1098011957
1355 729 1098002144
157 1407 1097971961
157 1407 1097972120
157 1407 1097972510
157 1407 1097972937
190 803 1097971961
803 1645 1097972634
190 803 1097973149
190 803 1097973213
1754 102 1097971961
1754 102 1097973151
1754 102 1097973416
1754 102 1097973430
772 770 1097971961
1736 772 1097972176
1736 772 1097972273
1736 772 1097972425
386 218 1097971961
757 69 1097971961
757 69 1097972100
458 997 1097971961
720 428 1097971960
428 1845 1097972703
720 428 1097972828
547 720 1097972863
406 757 1097971960
406 757 1097972565
490 406 1097972678
757 406 1097972713
836 649 1097971960
836 649 1097972476
1893 799 1097970754
799 1893 1097970930
1893 799 1097972358
1893 799 1097972753
43 664 1097965367
1332 738 1097924766
1332 105 1097925021
956 1112 1097889938
1112 956 1097889962
956 1112 1097890070
1112 956 1097890245
232 48 1097885284
232 48 1097885514
232 48 1097885631
232 48 1097886522
232 48 1097996779
232 48 1097996994
232 48 1097997133
232 48 1097997439
1515 898 1097793774
1515 898 1097794129
1515 898 1097795389
1599 898 1097795873
1515 898 1098328103
1608 955 1097773294
1608 955 1097773847
1188 622 1097771322
1709 1188 1097774816
1188 1709 1097775077
23 666 1097762661
814 23 1097763170
814 23 1097764287
814 23 1097764368
1540 156 1097737053
1629 969 1097725329
1793 1389 1097712604
1793 1389 1097807240
1389 1793 1097807324
1793 1389 1097807584
1754 401 1097711599
1754 1185 1097711754
1754 1185 1097712706
1185 1754 1097712741
1754 401 1097742972
401 1754 1097743478
1754 401 1097743727
401 1754 1097743900
1754 401 1097964589
1754 401 1097964653
877 1754 1097965030
401 1754 1097965520
1691 156 1097710523
1792 1287 1097704867
141 562 1097695533
562 141 1097695743
562 141 1097696142
562 141 1097696245
1757 1820 1097692933
1757 1820 1097693087
1820 6 1097694108
1757 1820 1097694239
1750 1259 1097644650
1202 1750 1097645832
1202 1750 1097645899
1713 1098 1097637913
723 1333 1097627227
723 1333 1097627560
723 1333 1097627602
1333 752 1097628883
1874 448 1097625127
1565 698 1097608131
1565 698 1097608289
1565 698 1098165530
1565 698 1098248470
1565 698 1098254575
1565 698 1098379340
1565 698 1098379462
1565 698 1098380029
1565 698 1098380178
1412 318 1097604732
1412 318 1097967095
1412 318 1098029156
1114 56 1097559764
729 1114 1097560193
1114 56 1097560524
1114 56 1097560607
1114 56 1097731132
729 1114 1097731294
1114 56 1097731517
729 1114 1097731521
1114 56 1097732753
1114 56 1097733518
1114 56 1097733735
1114 56 1097733976
1114 56 1098148625
56 1114 1098148944
1114 56 1098148969
1114 56 1098149175
1688 1111 1097557750
778 1688 1097558462
778 1688 1097558471
778 1688 1097558577
1559 1148 1097550580
538 700 1097528955
538 700 1097528964
538 700 1097529594
538 700 1097529858
538 700 1097715567
675 634 1097523298
205 61 1097470388
205 61 1097471018
205 61 1097609554
205 61 1097648927
205 61 1097649045
205 61 1097649361
205 61 1097649775
205 61 1098777111
563 1135 1097465739
563 1135 1097466047
1195 1787 1097464426
1195 1787 1097465374
1195 1787 1097466080
1195 1787 1097466533
1123 1148 1097459395
