Read data time:  0.003196
Learn transition time:  0.003640
Generate graph time:  0.007931
End-to-end Time:  0.014767
50 85 2
124 153 2
15 114 2
89 128 2
96 50 2
85 127 2
68 54 2
46 141 2
108 127 2
125 148 2
66 32 2
140 18 2
27 146 2
10 56 2
101 141 2
91 47 2
123 52 2
7 110 2
141 64 2
54 118 2
72 78 2
112 6 2
134 81 1
58 141 1
115 141 1
100 86 1
144 141 1
10 150 1
113 139 1
131 70 1
121 68 1
122 96 1
120 91 1
107 92 1
141 105 1
123 141 1
100 131 1
132 97 1
130 112 1
43 132 1
95 111 2
120 130 1
15 145 1
148 156 1
88 50 1
78 20 1
153 21 1
156 142 1
14 56 1
37 4 1
44 141 1
68 97 1
114 14 1
124 113 2
138 41 1
63 120 0
39 141 2
145 33 0
152 57 1
150 127 1
115 50 1
149 63 1
91 45 1
50 71 1
50 38 1
19 118 1
81 68 1
15 12 1
68 27 1
98 38 1
136 19 1
112 68 1
140 135 1
153 134 0
63 51 1
81 53 1
96 92 1
0 15 1
63 112 1
103 141 1
21 113 1
110 25 1
66 81 0
64 135 0
124 107 1
22 0 1
35 50 2
115 43 1
138 32 1
108 124 1
78 62 1
152 55 1
119 109 1
11 49 1
150 58 1
91 132 1
116 108 2
72 112 0
59 55 1
82 143 0
120 40 1
115 130 1
114 123 0
13 81 2
153 124 0
50 3 1
145 26 0
113 140 0
137 68 0
113 54 1
23 91 0
108 73 1
60 30 1
143 110 1
115 127 1
95 91 1
102 76 0
100 153 1
37 115 0
137 117 1
81 45 1
120 66 1
45 154 1
144 83 1
9 129 0
127 141 1
49 146 1
141 156 1
54 52 0
124 31 2
100 112 2
27 120 1
43 139 1
158 44 0
29 106 1
33 22 1
21 88 1
58 50 1
75 90 0
136 73 1
21 35 0
106 65 1
26 5 0
94 21 1
143 88 1
130 112 1
143 68 1
118 36 0
77 90 0
100 20 1
116 122 1
42 82 1
115 104 1
131 115 1
108 156 1
108 118 1
91 156 0
112 51 1
26 53 0
142 158 1
61 114 1
114 1 1
133 81 1
133 108 1
157 87 1
3 157 1
85 48 0
6 152 0
28 25 1
81 127 1
52 94 1
15 93 0
17 24 1
50 112 1
143 97 1
121 15 1
156 54 1
58 67 1
144 76 1
17 116 0
30 47 0
1 140 0
157 52 1
60 54 0
50 97 2
34 13 1
80 54 1
31 32 0
144 45 1
147 153 1
118 21 1
27 112 1
39 156 1
124 5 1
156 112 1
6 132 0
68 76 1
143 84 1
7 155 1
27 131 0
123 40 1
148 60 1
112 141 1
59 20 1
127 113 1
154 105 1
151 60 1
89 50 1
98 66 1
99 101 1
91 157 1
111 148 1
125 96 1
66 2 1
156 102 1
54 156 1
76 42 1
98 118 1
27 80 1
140 15 2
41 15 1
82 156 1
153 68 0
24 112 1
31 140 1
100 141 1
143 62 1
132 43 1
79 75 1
52 112 1
84 63 0
34 114 1
81 66 1
70 29 1
88 152 1
4 79 1
20 117 1
33 82 2
156 156 1
63 47 1
50 12 1
148 6 1
111 26 1
74 113 1
114 149 1
150 124 1
5 9 1
58 155 0
143 5 1
132 148 1
6 66 0
61 50 1
114 89 0
100 58 1
20 124 1
156 124 1
124 108 1
145 112 1
141 51 1
66 115 1
16 67 1
74 89 1
141 60 1
63 141 1
140 77 1
68 140 0
109 134 1
60 119 1
81 35 1
28 156 2
63 87 1
110 18 1
23 126 1
35 63 1
111 82 2
127 21 1
48 57 2
51 124 1
68 78 1
5 141 1
116 91 1
99 11 1
128 8 1
5 47 2
82 106 1
17 33 2
69 15 1
6 112 1
83 32 1
27 124 1
128 156 0
31 129 1
36 143 1
128 52 1
54 86 1
2 15 1
68 124 1
32 91 1
63 134 1
46 156 1
113 153 1
85 143 1
17 156 1
100 98 2
16 71 1
32 93 1
115 8 1
151 54 1
126 69 1
27 104 1
65 21 1
147 68 1
141 20 1
