Read data time:  0.130636
Learn transition time:  126.181836
Generate graph time:  0.346519
End-to-end Time:  126.658991
2129 4129 14
2129 4129 14
1528 1491 14
1491 3166 15
1868 3863 14
1868 3863 14
255 2852 14
255 2852 14
4423 1498 14
1498 717 14
1416 102 14
102 800 14
4226 3128 14
3128 1930 14
2758 3280 14
2758 3280 14
4110 777 14
777 2453 15
3266 982 14
982 954 20
1368 4219 14
2983 1368 14
3736 4363 14
1900 3294 14
3294 1245 15
4790 4657 14
4790 4657 16
3811 1099 14
1099 1622 14
1066 4462 14
4462 2795 15
236 875 14
875 4427 14
281 895 14
281 895 14
4866 652 14
4866 652 14
4358 705 14
705 1001 15
3693 3872 14
3693 3872 14
4455 1450 14
1450 974 14
1477 2935 14
2935 3234 14
4844 1091 14
2802 2608 14
2802 2608 15
4222 2041 14
4222 2041 14
1176 1158 14
1176 1158 15
4742 4812 14
4742 4812 18
1775 2147 14
628 1775 16
1855 1140 14
1140 1380 15
3134 2986 14
2240 236 14
2240 236 14
3350 3551 14
3350 3551 15
3806 124 14
3806 124 14
4293 4777 14
678 4293 17
2751 1471 14
1471 2159 17
3884 2992 14
2389 3884 14
4788 1064 14
4029 903 14
903 4148 16
4948 1527 14
1703 1195 14
1195 1703 14
2270 706 14
78 1262 14
78 1262 14
2895 4580 14
2190 2895 15
4123 2121 14
4123 2121 15
3964 2553 14
2553 3199 14
2000 3701 14
2000 3701 14
350 1017 14
350 1017 14
3833 2435 14
3833 2435 18
3420 4836 14
3012 3242 14
3012 3242 15
1777 3122 14
3122 1777 14
2273 141 14
141 1084 14
1851 1599 14
1599 1307 14
1288 4794 14
1290 1288 16
416 4822 14
416 4822 14
3193 1038 14
1038 2904 14
1480 2219 14
1480 2219 14
4395 4669 14
2569 1954 14
1954 4619 14
4804 2711 14
4807 3759 14
4807 3759 14
1150 984 14
989 1150 16
4888 3045 14
4888 3045 15
1387 1843 14
2747 1387 15
1459 2026 14
2026 1563 14
1890 4158 14
1890 4158 16
1729 4911 14
1729 4911 16
3291 1296 14
1296 1292 14
3287 2765 14
3287 2765 15
4207 32 14
602 4207 14
1286 4639 14
1286 4639 15
1125 4593 14
1057 764 14
764 2613 15
2073 3258 14
2400 539 14
2400 539 14
4469 4473 14
1696 2568 14
2568 1445 14
1187 1578 14
3902 1188 14
1188 4104 14
1352 499 14
1352 499 16
881 4049 14
881 4049 15
3519 4850 14
3519 4850 16
227 3740 14
227 3740 14
3486 1309 14
1309 4725 14
4490 782 14
4490 782 16
1738 4586 14
2754 1738 14
2864 810 14
2864 810 15
1393 2446 14
1393 2446 15
1825 1116 14
1116 2840 15
891 4653 14
4653 4720 14
541 3393 14
966 769 14
769 966 15
4836 336 14
336 2233 14
106 4066 14
106 4066 14
3253 2828 14
2828 2126 18
2285 1786 14
2249 2285 14
4015 739 14
739 1078 15
2041 581 14
581 19 14
2502 1892 14
1892 2238 15
1457 2689 14
1457 2689 14
3893 4726 14
3893 4726 14
1534 4165 14
4165 3648 14
2661 4227 14
4170 3496 14
4170 3496 17
465 4784 14
3472 3909 14
3472 3909 14
1930 2823 14
1930 2823 14
4701 286 14
2720 4701 23
1285 2280 14
1285 2280 19
2918 2442 14
2442 2809 14
3524 590 14
3524 590 14
2638 1534 14
2423 4672 14
2485 2423 14
2906 141 14
2906 141 14
3117 3268 14
3117 3268 15
5054 4237 14
5054 4237 14
4289 5 14
3030 4289 14
3652 1433 14
21 3969 14
5039 1954 14
5039 1954 14
403 137 14
1604 1818 14
1604 1818 14
1798 3516 14
184 4851 14
4851 2831 14
1718 680 14
186 1718 18
1047 1409 14
1047 1409 14
1922 4363 14
2924 2998 14
2924 2998 17
1055 2556 14
2556 3615 15
750 361 14
361 26 15
1251 1305 14
1251 1305 14
2597 1816 14
2597 1816 17
1828 1657 14
1828 1657 20
3940 1693 14
1693 296 15
1880 2355 14
4157 2055 14
3037 312 14
312 2016 14
3894 1356 14
3894 1356 17
1291 4408 14
4408 421 14
4216 3065 14
3063 4599 14
2197 3063 14
201 213 14
213 3952 16
2375 1825 14
2375 1825 14
1481 378 14
1481 378 15
1973 4675 14
1555 2328 14
4370 3484 14
2100 4370 15
4564 3923 14
3923 2857 15
4093 163 14
163 619 17
753 4916 14
4916 3924 15
1071 3532 14
3532 5056 14
2594 98 14
98 2529 19
4373 1091 14
1091 752 15
4937 4424 14
4424 2042 19
1311 4654 14
4654 1456 14
1041 3758 14
1041 3758 15
2215 2307 14
2307 2215 14
2061 4226 14
2061 4226 14
114 745 14
114 745 17
3474 4385 14
4678 1054 14
4678 1054 15
4297 4091 14
4297 4091 14
3498 4760 14
3139 3498 14
2528 2866 14
2528 2866 14
3395 4564 14
4564 3395 14
2526 868 14
2526 868 14
74 1481 14
74 1481 14
2609 3041 14
3041 704 17
5021 3145 14
3986 5021 16
693 2402 14
693 2402 14
4746 2448 14
2448 1429 14
1790 817 14
1790 817 14
2333 386 14
2527 4424 14
1268 4805 14
212 4187 14
2361 2930 14
4691 3300 14
4691 3300 15
4601 2617 14
2341 4739 14
4739 2341 14
21 871 14
871 3490 17
3237 2946 14
2946 5065 15
1252 3966 14
1504 1252 16
4651 4450 14
2101 4651 15
3022 4361 14
3022 4361 15
470 4662 14
3355 2661 14
3355 2661 16
2653 4714 14
4170 4832 14
4170 4832 15
4297 1972 14
1703 579 14
4345 2900 14
4345 2900 14
1737 3379 14
1686 3223 14
3223 963 14
973 1569 14
973 1569 16
1561 1205 14
4012 1561 14
4048 1336 14
4048 1336 14
2675 2254 14
2254 389 14
338 2468 14
338 2468 14
4962 1207 14
1207 3572 14
4053 4551 14
4551 1053 14
3421 3271 14
3421 3271 14
4368 3456 14
3456 4717 14
1008 2818 14
2818 1611 16
358 902 14
902 4305 15
1336 3 14
3 3297 15
4385 1191 14
1191 4302 16
1225 3823 14
1225 3823 14
1968 4989 14
4989 839 19
1887 1353 14
1887 1353 14
2712 2436 14
2436 3885 14
3802 4713 14
3802 4713 14
3961 4193 14
4193 4033 14
2446 2830 14
2830 2271 15
584 4399 14
584 4399 14
1159 992 14
1159 992 14
370 3201 14
370 3201 14
4524 3051 14
3051 1853 15
1724 1992 14
734 318 14
4481 1372 14
1372 2457 15
2578 1107 14
4888 2578 16
4488 1097 14
246 4488 14
4781 1614 14
1614 3661 14
2874 2246 14
2874 2246 14
2663 4968 14
4968 1052 14
4646 3267 14
4293 2205 14
678 4293 18
1612 4620 14
1612 4620 14
751 688 14
751 688 15
1747 4076 14
1747 4076 16
3623 663 14
2694 2791 14
2315 4001 14
2315 4001 16
2692 1541 14
2692 1541 14
4067 3120 14
3120 4375 15
851 1652 14
3280 780 14
2758 3280 14
2720 3490 14
3337 2720 14
3378 735 14
735 2519 15
2492 85 14
85 5027 15
4392 1172 14
1172 4050 15
2267 4520 14
2267 4520 14
1765 4228 14
4228 2726 15
999 3832 14
2756 999 16
2434 2117 14
2117 3844 15
325 5092 14
5092 2667 14
2149 4138 14
4138 1386 17
2570 4399 14
2570 4399 14
957 2427 14
957 2427 16
1105 1062 14
1062 4522 15
14 3382 14
14 3382 14
2104 3671 14
413 1613 14
938 413 14
2247 1857 14
1857 339 14
3219 4834 14
3219 4834 15
746 2339 14
746 2339 15
4973 2086 14
4973 2086 14
1274 4170 14
4170 3496 14
461 4804 14
